ip,protocol,port,state,service,version,vuln_id,vuln_title,cvss_score,vuln_desc
192.168.252.209,tcp,888,no-response,,,,,,
192.168.252.209,tcp,898,no-response,,,,,,
192.168.252.209,tcp,900,no-response,,,,,,
192.168.252.209,tcp,901,no-response,,,,,,
192.168.252.209,tcp,902,no-response,,,,,,
192.168.252.209,tcp,903,no-response,,,,,,
192.168.252.209,tcp,911,no-response,,,,,,
192.168.252.209,tcp,912,no-response,,,,,,
192.168.252.209,tcp,981,no-response,,,,,,
192.168.252.209,tcp,987,no-response,,,,,,
192.168.252.209,tcp,990,no-response,,,,,,
192.168.252.209,tcp,992,no-response,,,,,,
192.168.252.209,tcp,993,no-response,,,,,,
192.168.252.209,tcp,995,no-response,,,,,,
192.168.252.209,tcp,999,no-response,,,,,,
192.168.252.209,tcp,1000,no-response,,,,,,
192.168.252.209,tcp,1001,no-response,,,,,,
192.168.252.209,tcp,1002,no-response,,,,,,
192.168.252.209,tcp,1007,no-response,,,,,,
192.168.252.209,tcp,1009,no-response,,,,,,
192.168.252.209,tcp,1010,no-response,,,,,,
192.168.252.209,tcp,1011,no-response,,,,,,
192.168.252.209,tcp,1021,no-response,,,,,,
192.168.252.209,tcp,1022,no-response,,,,,,
192.168.252.209,tcp,1023,no-response,,,,,,
192.168.252.209,tcp,1024,no-response,,,,,,
192.168.252.209,tcp,1025,no-response,,,,,,
192.168.252.209,tcp,1026,no-response,,,,,,
192.168.252.209,tcp,1027,no-response,,,,,,
192.168.252.209,tcp,1028,no-response,,,,,,
192.168.252.209,tcp,1029,no-response,,,,,,
192.168.252.209,tcp,1030,no-response,,,,,,
192.168.252.209,tcp,1031,no-response,,,,,,
192.168.252.209,tcp,1032,no-response,,,,,,
192.168.252.209,tcp,1033,no-response,,,,,,
192.168.252.209,tcp,1034,no-response,,,,,,
192.168.252.209,tcp,1035,no-response,,,,,,
192.168.252.209,tcp,1036,no-response,,,,,,
192.168.252.209,tcp,1037,no-response,,,,,,
192.168.252.209,tcp,1038,no-response,,,,,,
192.168.252.209,tcp,1039,no-response,,,,,,
192.168.252.209,tcp,1040,no-response,,,,,,
192.168.252.209,tcp,1041,no-response,,,,,,
192.168.252.209,tcp,1042,no-response,,,,,,
192.168.252.209,tcp,1043,no-response,,,,,,
192.168.252.209,tcp,1044,no-response,,,,,,
192.168.252.209,tcp,1045,no-response,,,,,,
192.168.252.209,tcp,1046,no-response,,,,,,
192.168.252.209,tcp,1047,no-response,,,,,,
192.168.252.209,tcp,1048,no-response,,,,,,
192.168.252.209,tcp,1049,no-response,,,,,,
192.168.252.209,tcp,1050,no-response,,,,,,
192.168.252.209,tcp,1051,no-response,,,,,,
192.168.252.209,tcp,1052,no-response,,,,,,
192.168.252.209,tcp,1053,no-response,,,,,,
192.168.252.209,tcp,1054,no-response,,,,,,
192.168.252.209,tcp,1055,no-response,,,,,,
192.168.252.209,tcp,1056,no-response,,,,,,
192.168.252.209,tcp,1057,no-response,,,,,,
192.168.252.209,tcp,1058,no-response,,,,,,
192.168.252.209,tcp,1059,no-response,,,,,,
192.168.252.209,tcp,1060,no-response,,,,,,
192.168.252.209,tcp,1061,no-response,,,,,,
192.168.252.209,tcp,1062,no-response,,,,,,
192.168.252.209,tcp,1063,no-response,,,,,,
192.168.252.209,tcp,1064,no-response,,,,,,
192.168.252.209,tcp,1065,no-response,,,,,,
192.168.252.209,tcp,1066,no-response,,,,,,
192.168.252.209,tcp,1067,no-response,,,,,,
192.168.252.209,tcp,1068,no-response,,,,,,
192.168.252.209,tcp,1069,no-response,,,,,,
192.168.252.209,tcp,1070,no-response,,,,,,
192.168.252.209,tcp,1071,no-response,,,,,,
192.168.252.209,tcp,1072,no-response,,,,,,
192.168.252.209,tcp,1073,no-response,,,,,,
192.168.252.209,tcp,1074,no-response,,,,,,
192.168.252.209,tcp,1075,no-response,,,,,,
192.168.252.209,tcp,1076,no-response,,,,,,
192.168.252.209,tcp,1077,no-response,,,,,,
192.168.252.209,tcp,1078,no-response,,,,,,
192.168.252.209,tcp,1079,no-response,,,,,,
192.168.252.209,tcp,1080,no-response,,,,,,
192.168.252.209,tcp,1081,no-response,,,,,,
192.168.252.209,tcp,1082,no-response,,,,,,
192.168.252.209,tcp,1083,no-response,,,,,,
192.168.252.209,tcp,1084,no-response,,,,,,
192.168.252.209,tcp,1085,no-response,,,,,,
192.168.252.209,tcp,1086,no-response,,,,,,
192.168.252.209,tcp,1087,no-response,,,,,,
192.168.252.209,tcp,1088,no-response,,,,,,
192.168.252.209,tcp,1089,no-response,,,,,,
192.168.252.209,tcp,1090,no-response,,,,,,
192.168.252.209,tcp,1091,no-response,,,,,,
192.168.252.209,tcp,1092,no-response,,,,,,
192.168.252.209,tcp,1093,no-response,,,,,,
192.168.252.209,tcp,1094,no-response,,,,,,
192.168.252.209,tcp,1095,no-response,,,,,,
192.168.252.209,tcp,1096,no-response,,,,,,
192.168.252.209,tcp,1097,no-response,,,,,,
192.168.252.209,tcp,1098,no-response,,,,,,
192.168.252.209,tcp,1099,open,rmiregistry,,,"
       RMI registry default configuration remote code execution vulnerability
      ",,
192.168.252.209,tcp,1100,no-response,,,,,,
192.168.252.209,tcp,1102,no-response,,,,,,
192.168.252.209,tcp,1104,no-response,,,,,,
192.168.252.209,tcp,1105,no-response,,,,,,
192.168.252.209,tcp,1106,no-response,,,,,,
192.168.252.209,tcp,1107,no-response,,,,,,
192.168.252.209,tcp,1108,no-response,,,,,,
192.168.252.209,tcp,1110,no-response,,,,,,
192.168.252.209,tcp,1111,no-response,,,,,,
192.168.252.209,tcp,1112,no-response,,,,,,
192.168.252.209,tcp,1113,no-response,,,,,,
192.168.252.209,tcp,1114,no-response,,,,,,
192.168.252.209,tcp,1117,no-response,,,,,,
192.168.252.209,tcp,1119,no-response,,,,,,
192.168.252.209,tcp,1121,no-response,,,,,,
192.168.252.209,tcp,1122,no-response,,,,,,
192.168.252.209,tcp,1123,no-response,,,,,,
192.168.252.209,tcp,1124,no-response,,,,,,
192.168.252.209,tcp,1126,no-response,,,,,,
192.168.252.209,tcp,1130,no-response,,,,,,
192.168.252.209,tcp,1131,no-response,,,,,,
192.168.252.209,tcp,1132,no-response,,,,,,
192.168.252.209,tcp,1137,no-response,,,,,,
192.168.252.209,tcp,1138,no-response,,,,,,
192.168.252.209,tcp,1141,no-response,,,,,,
192.168.252.209,tcp,1145,no-response,,,,,,
192.168.252.209,tcp,1147,no-response,,,,,,
192.168.252.209,tcp,1148,no-response,,,,,,
192.168.252.209,tcp,1149,no-response,,,,,,
192.168.252.209,tcp,1151,no-response,,,,,,
192.168.252.209,tcp,1152,no-response,,,,,,
192.168.252.209,tcp,1154,no-response,,,,,,
192.168.252.209,tcp,1163,no-response,,,,,,
192.168.252.209,tcp,1164,no-response,,,,,,
192.168.252.209,tcp,1165,no-response,,,,,,
192.168.252.209,tcp,1166,no-response,,,,,,
192.168.252.209,tcp,1169,no-response,,,,,,
192.168.252.209,tcp,1174,no-response,,,,,,
192.168.252.209,tcp,1175,no-response,,,,,,
192.168.252.209,tcp,1183,no-response,,,,,,
192.168.252.209,tcp,1185,no-response,,,,,,
192.168.252.209,tcp,1186,no-response,,,,,,
192.168.252.209,tcp,1187,no-response,,,,,,
192.168.252.209,tcp,1192,no-response,,,,,,
192.168.252.209,tcp,1198,no-response,,,,,,
192.168.252.209,tcp,1199,no-response,,,,,,
192.168.252.209,tcp,1201,no-response,,,,,,
192.168.252.209,tcp,1213,no-response,,,,,,
192.168.252.209,tcp,1216,no-response,,,,,,
192.168.252.209,tcp,1217,no-response,,,,,,
192.168.252.209,tcp,1218,no-response,,,,,,
192.168.252.209,tcp,1233,no-response,,,,,,
192.168.252.209,tcp,1234,no-response,,,,,,
192.168.252.209,tcp,1236,no-response,,,,,,
192.168.252.209,tcp,1244,no-response,,,,,,
192.168.252.209,tcp,1247,no-response,,,,,,
192.168.252.209,tcp,1248,no-response,,,,,,
192.168.252.209,tcp,1259,no-response,,,,,,
192.168.252.209,tcp,1271,no-response,,,,,,
192.168.252.209,tcp,1272,no-response,,,,,,
192.168.252.209,tcp,1277,no-response,,,,,,
192.168.252.209,tcp,1287,no-response,,,,,,
192.168.252.209,tcp,1296,no-response,,,,,,
192.168.252.209,tcp,1300,no-response,,,,,,
192.168.252.209,tcp,1301,no-response,,,,,,
192.168.252.209,tcp,1309,no-response,,,,,,
192.168.252.209,tcp,1310,no-response,,,,,,
192.168.252.209,tcp,1311,no-response,,,,,,
192.168.252.209,tcp,1322,no-response,,,,,,
192.168.252.209,tcp,1328,no-response,,,,,,
192.168.252.209,tcp,1334,no-response,,,,,,
192.168.252.209,tcp,1352,no-response,,,,,,
192.168.252.209,tcp,1417,no-response,,,,,,
192.168.252.209,tcp,1433,no-response,,,,,,
192.168.252.209,tcp,1434,no-response,,,,,,
192.168.252.209,tcp,1443,no-response,,,,,,
192.168.252.209,tcp,1455,no-response,,,,,,
192.168.252.209,tcp,1461,no-response,,,,,,
192.168.252.209,tcp,1494,no-response,,,,,,
192.168.252.209,tcp,1500,no-response,,,,,,
192.168.252.209,tcp,1501,no-response,,,,,,
192.168.252.209,tcp,1503,no-response,,,,,,
192.168.252.209,tcp,1521,no-response,,,,,,
192.168.252.209,tcp,1524,open,ingreslock,,,,,
192.168.252.209,tcp,1533,no-response,,,,,,
192.168.252.209,tcp,1556,no-response,,,,,,
192.168.252.209,tcp,1580,no-response,,,,,,
192.168.252.209,tcp,1583,no-response,,,,,,
192.168.252.209,tcp,1594,no-response,,,,,,
192.168.252.209,tcp,1600,no-response,,,,,,
192.168.252.209,tcp,1641,no-response,,,,,,
192.168.252.209,tcp,1658,no-response,,,,,,
192.168.252.209,tcp,1666,no-response,,,,,,
192.168.252.209,tcp,1687,no-response,,,,,,
192.168.252.209,tcp,1688,no-response,,,,,,
192.168.252.209,tcp,1700,no-response,,,,,,
192.168.252.209,tcp,1717,no-response,,,,,,
192.168.252.209,tcp,1718,no-response,,,,,,
192.168.252.209,tcp,1719,no-response,,,,,,
192.168.252.209,tcp,1720,no-response,,,,,,
192.168.252.209,tcp,1721,no-response,,,,,,
192.168.252.209,tcp,1723,no-response,,,,,,
192.168.252.209,tcp,1755,no-response,,,,,,
192.168.252.209,tcp,1761,no-response,,,,,,
192.168.252.209,tcp,1782,no-response,,,,,,
192.168.252.209,tcp,1783,no-response,,,,,,
192.168.252.209,tcp,1801,no-response,,,,,,
192.168.252.209,tcp,1805,no-response,,,,,,
192.168.252.209,tcp,1812,no-response,,,,,,
192.168.252.209,tcp,1839,no-response,,,,,,
192.168.252.209,tcp,1840,no-response,,,,,,
192.168.252.209,tcp,1862,no-response,,,,,,
192.168.252.209,tcp,1863,no-response,,,,,,
192.168.252.209,tcp,1864,no-response,,,,,,
192.168.252.209,tcp,1875,no-response,,,,,,
192.168.252.209,tcp,1900,no-response,,,,,,
192.168.252.209,tcp,1914,no-response,,,,,,
192.168.252.209,tcp,1935,no-response,,,,,,
192.168.252.209,tcp,1947,no-response,,,,,,
192.168.252.209,tcp,1971,no-response,,,,,,
192.168.252.209,tcp,1972,no-response,,,,,,
192.168.252.209,tcp,1974,no-response,,,,,,
192.168.252.209,tcp,1984,no-response,,,,,,
192.168.252.209,tcp,1998,no-response,,,,,,
192.168.252.209,tcp,1999,no-response,,,,,,
192.168.252.209,tcp,2000,no-response,,,,,,
192.168.252.209,tcp,2001,no-response,,,,,,
192.168.252.209,tcp,2002,no-response,,,,,,
192.168.252.209,tcp,2003,no-response,,,,,,
192.168.252.209,tcp,2004,no-response,,,,,,
192.168.252.209,tcp,2005,no-response,,,,,,
192.168.252.209,tcp,2006,no-response,,,,,,
192.168.252.209,tcp,2007,no-response,,,,,,
192.168.252.209,tcp,2008,no-response,,,,,,
192.168.252.209,tcp,2009,no-response,,,,,,
192.168.252.209,tcp,2010,no-response,,,,,,
192.168.252.209,tcp,2013,no-response,,,,,,
192.168.252.209,tcp,2020,no-response,,,,,,
192.168.252.209,tcp,2021,no-response,,,,,,
192.168.252.209,tcp,2022,no-response,,,,,,
192.168.252.209,tcp,2030,no-response,,,,,,
192.168.252.209,tcp,2033,no-response,,,,,,
192.168.252.209,tcp,2034,no-response,,,,,,
192.168.252.209,tcp,2035,no-response,,,,,,
192.168.252.209,tcp,2038,no-response,,,,,,
192.168.252.209,tcp,2040,no-response,,,,,,
192.168.252.209,tcp,2041,no-response,,,,,,
192.168.252.209,tcp,2042,no-response,,,,,,
192.168.252.209,tcp,2043,no-response,,,,,,
192.168.252.209,tcp,2045,no-response,,,,,,
192.168.252.209,tcp,2046,no-response,,,,,,
192.168.252.209,tcp,2047,no-response,,,,,,
192.168.252.209,tcp,2048,no-response,,,,,,
192.168.252.209,tcp,2049,open,nfs,,,,,
192.168.252.209,tcp,2065,no-response,,,,,,
192.168.252.209,tcp,2068,no-response,,,,,,
192.168.252.209,tcp,2099,no-response,,,,,,
192.168.252.209,tcp,2100,no-response,,,,,,
192.168.252.209,tcp,2103,no-response,,,,,,
192.168.252.209,tcp,2105,no-response,,,,,,
192.168.252.209,tcp,2106,no-response,,,,,,
192.168.252.209,tcp,2107,no-response,,,,,,
192.168.252.209,tcp,2111,no-response,,,,,,
192.168.252.209,tcp,2119,no-response,,,,,,
192.168.252.209,tcp,2121,open,ccproxy-ftp,,,,,
192.168.252.209,tcp,2126,no-response,,,,,,
192.168.252.209,tcp,2135,no-response,,,,,,
192.168.252.209,tcp,2144,no-response,,,,,,
192.168.252.209,tcp,2160,no-response,,,,,,
192.168.252.209,tcp,2161,no-response,,,,,,
