port,protocol,service,product,version,cpe,script_id,title,state,description,cve_list,cvss_list,ref_links,exploit_id,exploit_type,exploit_cvss,is_exploit,cvss_score_moyen
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,F0979183-AE88-53B4-86CF-3AF0523F3807,githubexploit,9.8,True,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,CVE-2023-38408,cve,9.8,False,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,CVE-2016-1908,cve,9.8,False,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,B8190CDB-3EB9-5631-9828-8064A1575B23,githubexploit,9.8,True,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,8FC9C5AB-3968-5F3C-825E-E8DB5379A623,githubexploit,9.8,True,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,8AD01159-548E-546E-AA87-2DE89F3927EC,githubexploit,9.8,True,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,2227729D-6700-5C8F-8930-1EEAFD4B9FF0,githubexploit,9.8,True,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,0221525F-07F5-5790-912D-F4B9E2D1B587,githubexploit,9.8,True,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,CVE-2015-5600,cve,8.5,False,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,BA3887BD-F579-53B1-A4A4-FF49E953E1C0,githubexploit,8.1,True,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,4FB01B00-F993-5CAF-BD57-D7E290D10C1F,githubexploit,8.1,True,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,SSV:78173,seebug,7.8,True,5.550000000000001
22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,cpe:/a:openbsd:openssh:4.7p1,vulners,,,,"CVE-2016-10010, CVE-2016-3115, CVE-2011-5000, CVE-2008-1657, CVE-2016-1908, CVE-2015-6564, CVE-2018-20685, CVE-2015-5352, CVE-2012-0814, CVE-2023-48795, CVE-2023-38408, CVE-2020-15778, CVE-2010-4755, CVE-2016-6515, CVE-2015-8325, CVE-2016-10012, CVE-2015-5600, CVE-2017-15906, CVE-2021-36368, CVE-2019-6109, CVE-2016-10708, CVE-2016-20012, CVE-2016-10009, CVE-2016-6210, CVE-2023-51385, CVE-2025-61985, CVE-2011-4327, CVE-2019-6111, CVE-2014-2532, CVE-2025-61984, CVE-2010-4478, CVE-2010-5107, CVE-2015-6563, CVE-2018-15473, CVE-2008-3259, CVE-2014-1692, CVE-2016-10011, CVE-2019-6110, CVE-2014-2653","2.1, 10.0, 0.0, 5.3, 8.1, 3.6, 3.7, 4.3, 7.8, 1.9, 5.8, 4.0, 3.5, 8.5, 7.2, 6.5, 5.0, 6.9, 5.5, 1.2, 7.0, 7.5, 6.8, 9.8, 6.4, 5.9",,SSV:69983,seebug,7.8,True,5.550000000000001
